Vivino Link,Name (on menu),Restaurant,Glass Price,Bottle Price,Winery,Year,Wine Style,Region,Grape Varieties,ABV,Dry/Sweet,Tannin,Soft/Acidic,Flavor Profile,Pairings,Rating,Category,Light/Bold,Profile Specifics,Fizziness,Country,Wine ID,Region Class
https://www.vivino.com/US/en/messina-hof-texas-artist-series-sangiovese/w/2771088?srsltid=AfmBOoogSwrdTfTW_A34L632AkFF_t6uO0bp0aeXn0tkB2sfMK4Dktzh,"Sangiovese, Artist Series",Messina Hoff,10,30.0,Messina Hof,,Texas Sangiovese Red,Texas,Sangiovese,13,1.59,3.01,4.56,"['oak', 'red_fruit', 'non_oak']","['Beef', 'Lamb', 'Pasta', 'Mushrooms']",3.9,Red wine,3.12,"['oak', 'cherry', 'dark fruit', 'licorice', 'earthy']",0,United States,2771088,Texas
https://www.vivino.com/US/en/messina-hof-private-reserve-double-barrel-pinot-noir/w/4701?srsltid=AfmBOoriSkrPrDhlQunmGt37et4KgjsELpqOEPivfAfsDcbRVv0L-DS3,"Pinot Noir, Private Reserve",Messina Hoff,10,35.0,Messina Hof,,Texas Red,Texas,Pinot Noir,13,2.15,3.85,3.07,"['oak', 'spices', 'non_oak']","['Beef', 'Lamb', 'Game (deer, venison)']",3.9,Red wine,3.87,"['vanilla', 'oak', 'cherry', 'strawberry', 'leather']",0,United States,4701,Texas
https://www.vivino.com/US/en/messina-hof-abounding-dry-red/w/9386986?srsltid=AfmBOooES1qITpV1qqlKd-PkHWpY1lwdStg1_yIGmdJF5vll7WUemECH,Abounding,Messina Hoff,10,24.99,Messina Hof,,Texas Red,Texas,Mourvedre,13.5,1.93,3.50,3.17,"['black_fruit', 'oak', 'dried_fruit']","['Beef', 'Lamb', 'Game (deer, venison)']",4.1,Red wine,4.00,"['plum', 'oak', 'vanilla', 'raisin', 'red fruit']",0,United States,9386986,Texas
https://www.vivino.com/US/en/messina-hof-nimitz-old-texas-roundup-dry-red-blend/w/13116715?srsltid=AfmBOop6FZjTWtE2vp4vYh6z50l_rrE_gQ11hdGfrkAb1inzgvlz2fYt,Old Texas Roundup,Messina Hoff,10,28,Messina Hof,,Texas Red,Texas,"['Shiraz/Syrah', 'Cabernet Sauvignon', 'Malbec', 'Petite Sirah']",14.5,1.50,4.00,3.00,"['oak', 'black_fruit', 'red_fruit']","['Beef', 'Lamb', 'Game (deer, venison)']",4,Red wine,4.00,"['black fruit', 'tobacco', 'cedar', 'pepper', 'oak']",0,United States,13116715,Texas
https://www.vivino.com/US/en/messina-hof-texas-mourvedre/w/2766598?srsltid=AfmBOorv7M6PAB9tt_PYxtsW9MVrtXy2qG1T4E8zHWYz19TDNFlqt9hE,"Mourvèdre, Artist Series",Messina Hoff,10,24.79,Messina Hof,,Texas Red,Texas,Mourvedre,13.5,1.72,3.30,3.13,"['oak', 'red_fruit', 'earth']","['Beef', 'Lamb', 'Game (deer, venison)']",3.9,Red wine,3.72,"['vanilla', 'oak', 'cherry', 'red cherry', 'earthy']",0,United States,2766598,Texas
https://www.vivino.com/US/en/messina-hof-private-reserve-double-barrel-shiraz/w/4703?srsltid=AfmBOopG3wZNDhXQSndQJF59kZVJPx21RD6GevxYjuvs-eDfJkhk1cwI,"Syrah, Private Reserve",Messina Hoff,10,25.00,Messina Hof,,Texas Red,Texas,Shiraz/Syrah,13,1.50,4.00,3.00,"['oak', 'earth', 'non_oak']","['Beef', 'Lamb', 'Game (deer, venison)']",4.5,Red wine,4.00,"['tobacco', 'tar', 'black fruit', 'apple', 'pepper']",0,United States,4703,Texas
https://www.vivino.com/US/en/messina-hof-primitivo/w/7232948?srsltid=AfmBOooTtUomcL2_QaBjJ1d5KxVicbE_ciPqRv9lf95TW_fL8M0S01Ni,"Primitivo, Artist Series",Messina Hoff,10,29.37,Messina Hof,,Texas Red,Texas,Primitivo,13.5,1.56,3.74,3.31,"['oak', 'black_fruit', 'non_oak']","['Beef', 'Lamb', 'Game (deer, venison)']",3.9,Red wine,4.05,"['oak', 'espresso', 'blackberry', 'black fruit', 'pepper']",0,United States,7232948,Texas
https://www.vivino.com/US/en/messina-hof-private-reserve-double-barrel-malbec/w/5027638?srsltid=AfmBOoobsxN04vq1CPHxjGWf7mrkW_biU-C9Qwk4KSlj0lhK99mXTCxR,"Malbec, Private Reserve",Messina Hoff,10,29.85,Messina Hof,,Texas Red,Texas,Malbec,13,1.68,3.80,3.13,"['black_fruit', 'oak', 'spices']","['Beef', 'Lamb', 'Game (deer, venison)']",3.8,Red wine,4.03,"['plum', 'blackcurrant', 'vanilla', 'oak', 'earthy']",0,United States,5027638,Texas
https://www.vivino.com/US/en/messina-hof-private-reserva-petit-verdot/w/5027577?srsltid=AfmBOooLEPkCc1Umr-O0TWqGwt9AXJJkhOR-lMV7kaKRb1XOBI0zuRyI,"Petit Verdot, Private Reserve",Messina Hoff,10,35.0,Messina Hof,,Texas Red,Texas,Petit Verdot,13,1.70,3.99,3.28,"['black_fruit', 'non_oak', 'spices']","['Beef', 'Lamb', 'Game (deer, venison)']",3.7,Red wine,3.95,"['blackberry', 'plum', 'black fruit', 'molasses', 'lilac']",0,United States,5027577,Texas
https://www.vivino.com/US/en/messina-hof-private-reserve-petite-sirah/w/6300119?srsltid=AfmBOoo5oiD1nEbF-jxRzucoo8FxI21Nb4HvOrlavie832Pu_wG7DSDF,"Petite Sirah, Private Reserve",Messina Hoff,10,28,Messina Hof,,Texas Red,Texas High Plains,Petite Sirah,14,1.88,3.83,3.21,"['oak', 'black_fruit', 'earth']","['Beef', 'Lamb', 'Game (deer, venison)']",4,Red wine,4.06,"['oak', 'baking spice', 'black cherry', 'plum', 'black fruit']",0,United States,6300119,Texas
https://www.vivino.com/US/en/messina-hof-private-reserve-double-barrel-tempranillo/w/4929040?srsltid=AfmBOoo_pVTQ1vJVtTMNWGlWbZOViVeZszFDiXKPr6qQCtsnApukDxYA,"Tempranillo, Private Reserve",Messina Hoff,10,27.43,Messina Hof,,Texas Tempranillo Red,Texas High Plains,Tempranillo,13.5,1.25,3.76,3.14,"['black_fruit', 'oak', 'earth']","['Beef', 'Pasta', 'Game (deer, venison)', 'Mature and hard cheese']",4,Red wine,3.98,"['plum', 'black cherry', 'oak', 'vanilla', 'leather']",0,United States,4929040,Texas
